session_key,meeting_key,team_name,track_name,starting_position,starting_compound,pit_stops,target_compound,air_temp_mean,air_temp_max,track_temp_mean,track_temp_max,humidity_mean,wind_speed_mean,rainfall_sum,rain_minutes_ratio
10029,1259,Alpine,Miami,17.0,SOFT,8,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Aston Martin,Miami,17.5,SOFT,6,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Ferrari,Miami,10.0,SOFT,11,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Haas F1 Team,Miami,14.0,SOFT,9,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Kick Sauber,Miami,14.5,SOFT,8,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,McLaren,Miami,3.0,SOFT,11,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Mercedes,Miami,4.0,SOFT,14,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Racing Bulls,Miami,13.0,SOFT,10,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Red Bull Racing,Miami,5.5,SOFT,13,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10029,1259,Williams,Miami,6.5,SOFT,14,SOFT,27.974358974358967,28.8,41.015384615384605,46.9,63.05128205128205,2.519230769230769,0.0,0.0
10033,1259,Alpine,Miami,10.0,HARD,1,MEDIUM,26.573154362416112,28.0,38.69060402684564,45.2,63.02013422818792,1.0469798657718121,5.0,0.03355704697986577
10033,1259,Aston Martin,Miami,10.0,HARD,2,MEDIUM,26.573154362416112,28.0,38.69060402684564,45.2,63.02013422818792,1.0469798657718121,5.0,0.03355704697986577
10033,1259,Ferrari,Miami,10.0,HARD,2,MEDIUM,26.573154362416112,28.0,38.69060402684564,45.2,63.02013422818792,1.0469798657718121,5.0,0.03355704697986577
10033,1259,Haas F1 Team,Miami,10.0,HARD,1,MEDIUM,26.573154362416112,28.0,38.69060402684564,45.2,63.02013422818792,1.0469798657718121,5.0,0.03355704697986577
10033,1259,Kick Sauber,Miami,10.0,HARD,2,MEDIUM,26.573154362416112,28.0,38.69060402684564,45.2,63.02013422818792,1.0469798657718121,5.0,0.03355704697986577
